adhering	From Middle English *adherynge, adherande, present participle of Middle English *adheren, from Old French *adherer, aderer and Medieval Latin adhaereō (“adhere”, verb), equivalent to adhere + -ing.	verb. present participle and gerund of adhere
adjacent	Borrowed from Latin adiacēns, adiacentis, derivative of adiaceō (“to lie beside”); from ad (“to”) + iaceō (“to lie down”).	adjective. Lying next to, close, or contiguous; neighboring; bordering on.
adoption	Borrowed from French adoption, from Latin adoptio, allied to adoptare (“to adopt”). Equivalent to adopt + -ion.	noun. The act of adopting.
advanced	From advance + -ed.	verb. simple past and past participle of advance
advisory	From advise + -ory.	adjective. Able to give advice.
advocate	From Middle English advocat, advoket, from Old French advocat, from Latin advocātus (“an advocate”), from the substantivization of the perfect passive participle of advocāre (“to call for”) (see -ate (noun-forming suffix)), from a calque of Ancient Greek παράκλητος (paráklētos) (whence English paraclete). Doublet of advoke, avocat, avouch, and avow. The verb derives from the noun on the basis of -ate (verb-forming suffix).	noun. Someone whose job is to speak for someone's case in a court of law; a counsel.
agreeing	From agree + -ing.	verb. present participle and gerund of agree
aircraft	From air + -craft.	noun. A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift.
allergic	From allergy + -ic.	adjective. Of or pertaining to allergy.
alliance	From Middle English alliaunce, from Old French aliance (French alliance). Equivalent to ally + -ance. Compare with Doric Greek ἁλία (halía, “assembly”). See also al-.	noun. The state of being allied.
allocate	From Latin allocātus, perfect passive participle of Latin allocō (see -ate (verb-forming suffix)), from ad- (“to”) + locō. Doublet of allow. By surface analysis, al- + locate.	verb. To set aside for a purpose.
alphabet	Doublet of alfabeto. Dipslaced native Old English stæfrǣw (literally " staff - row ").	noun. The set of letters used when writing in a language.
although	From Middle English althagh, from Old English compound of eall (“all (emphatic)”) + þēah (“though”). By surface analysis, al(l) + though.	conjunction. Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.
analogue	Equivalent to ana- (“functionally similar”) + -logue. See analog.	adjective. Alternative spelling of analog.
analyses	See analysis.	noun. plural of analysis
analysis	From Medieval Latin analysis, from Ancient Greek ἀνάλυσις (análusis), from ἀναλύω (analúō, “to unravel, investigate”), from ἀνα- (ana-, “thoroughly”) + λύω (lúō, “to loosen”).	noun. Decomposition into components in order to study (a complex thing, concept, theory, etc.).
ancestor	From Middle English ancestre, auncestre, ancessour; the first forms from Old French ancestre (modern French ancêtre), from the Latin nominative antecessor (“one who goes before”); the last form from Old French ancessor, from Latin antecessōrem, accusative of antecessor, from antecēdō (“to go before”) + -tor (“-er”), from ante- (“before”) + cēdō (“to go”). See cede, and compare with antecessor.	noun. One from whom a person is descended, whether on the father's or mother's side, at any distance of time; a progenitor; a forefather; a forebear.
anecdote	Late 17 c., from French anecdote, from Ancient Greek ἀνέκδοτος (anékdotos, “accounts unpublished”), from ἀν- (an-, “not, un-”) + ἔκδοτος (ékdotos, “published”), from ἐκδίδωμι (ekdídōmi, “I publish”), from ἐκ- (ek-, “out”) + δίδωμι (dídōmi, “I give”). Virtually identical cognates in other European languages – French anecdote, German Anekdote, Spanish anécdota, among others.	noun. A short account of a real incident or person, often humorous or interesting.
announce	From Old French anoncier, from Latin annūntiāre, from ad + nūntiō (“report, relate”), from nūntius (“messenger, bearer of news”). See nuncio. Doublet of annunciate. See also an-.	verb. To give public notice of, especially for the first time; to make known.
annoying	From annoy + -ing.	adjective. Causing irritation or annoyance; troublesome; vexatious.
annually	From annual + -ly.	adverb. Once every year without fail, yearly
antidote	From Latin antidotum, from Ancient Greek ἀντίδοτον (antídoton, “antidote, remedy”), Clipping of ἀντίδοτον φάρμακον (antídoton phármakon, “drug given against”), from ἀντιδίδωμι (antidídōmi, “to give in return, repay”), from ἀντί (antí, “against”) + δίδωμι (dídōmi, “to give”). Compare French antidote.	noun. A remedy to counteract the effects of poison.
anyplace	From any + place.	adverb. At a non-specific place; anywhere.
anything	From Middle English anything, enything, onything, from Late Old English aniþing, from earlier ǣniġ þing (literally “any thing”), equivalent to any + thing.	pronoun. Any object, act, state, event, or fact whatsoever; a thing of any kind; something or other.
anywhere	From any + where.	adverb. In or at any location.
appalled	From appall + -ed.	adjective. Shocked, horrified by something unpleasant.
apparent	From Middle English apparaunt, aparaunt, from Old French aparent, aparant, in turn from Latin appārēns, appārentis, present participle of appāreō.	adjective. Capable of being seen, or easily seen; open to view; visible to the eye; within sight or view.
appendix	Borrowed from Latin appendix.	noun. Something attached to something else; an attachment or accompaniment.
applause	From Latin applausus, from applaudō (“to strike against, to applaud”) (whence applaud).	noun. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation.
approach	From Middle English aprochen, borrowed from Old French aprochier (modern French approcher), from Late Latin appropiāre, a verb based on Latin prope (“near”), ultimately from Proto-Indo-European *pro- (a variant of *per- (“before, in front; first”)) + *-kʷe (“suffix forming distributives from interrogatives”)).	verb. To come or go near, in place or time; to move toward; to advance nearer; to draw nigh.
approval	From approve + -al.	noun. An expression granting permission; an indication of agreement with a proposal; an acknowledgement that a person, thing, or event meets requirements.
arguable	From argue + -able.	adjective. That can be argued; that can be proven or strongly supported with sound logical deduction, precedent, and evidence.
arguably	From arguable + -ly.	adverb. As can be supported or proven by sound logical deduction, evidence, and precedent, but without absolute certainty.
argument	From Middle English argument, from Anglo-Norman and Old French arguement, from Latin argumentum. The English word is analysable as argue + -ment. Doublet of argumentum. Displaced native Old English racu and ġeflit.	noun. A fact or statement used to support a proposition; a reason.
arrogant	From Middle English arrogaunt, from Old French arrogant, from Latin arrogāns, present active participle of arrogō.	adjective. Having excessive pride in oneself, often with contempt or disrespect for others.
artistic	Borrowed from French artistique, from artiste + -ique. By surface analysis, artist + -ic.	adjective. Having or revealing creative skill.
assemble	From Middle English assemblen, from Old French assembler (“to assemble”), from Medieval Latin assimulāre (“to bring together”), from ad- + simulō (“copy, imitate”), from similis (“like, similar”), ultimately from Proto-Indo-European *sem- (“together, one”). Doublet of assimilate.	verb. To put together.
assembly	From Middle English assemblee, from Anglo-Norman asemblee (Old French asemblee, French assemblée). By surface analysis, assemble + -y.	noun. A set of pieces that work together in unison as a mechanism or device.
asterisk	The noun is derived from Middle English asterisk [and other forms], from Late Latin asteriscus (“asterisk; small star”), from Ancient Greek ἀστερῐ́σκος (asterĭ́skos, “asterisk; small star”), from ᾰ̓στήρ (ăstḗr, “celestial body (star, planet, and other lights in the sky such as meteors)”) (ultimately from Proto-Indo-European *h₂eHs- (“to burn; to glow”)) + -ῐ́σκος (-ĭ́skos, diminutive suffix). Doublet of asteriscus and piecewise doublet of starrish. Noun sense 1.1.2 (“something which is of little importance or which is marginal”) refers to the use of an asterisk to denote a footnote or marginal note in a text; in other words, information that is not important enough to be incorporated into the main text. Noun sense 1.1.3 (“blemish in an otherwise outstanding achievement”) refers to the use of an asterisk in a sporting record to indicate that the record is qualified in some manner (for example, that the sportsperson was found to have taken performance-enhancing drugs at the time). The verb is derived from the noun.	noun. A small star; also, something resembling or shaped like a star. The star-shaped symbol *, which is used in printing and writing for various purposes, including to refer a reader to a note at the bottom of a page or in a margin, and to indicate the omission of letters or words; a star. Something resembling or shaped like an asterisk symbol. Something which is of little importance or which is marginal; a footnote. A blemish in an otherwise outstanding achievement.
attitude	From French attitude, from Italian attitudine (“attitude, aptness”), from Medieval Latin aptitūdō (“aptitude”) and actitūdō (“acting, posture”), from Latin aptō and actitō. Doublet of aptitude.	noun. The position of the body or way of carrying oneself.
attorney	From Middle English attourne, from Old French atorné, past participle of atorner, atourner, aturner (“to attorn”), in the sense of "one appointed or constituted".	noun. A lawyer; one who advises or represents others in legal matters as a profession.
audience	From Middle English audience, from Middle French audience, from Old French audience, from Latin audientia, from present participle audiēns (“hearing”), from verb audiō (“to hear”). Doublet of audiencia.	noun. A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc.
automate	Back-formation from automation.	verb. To replace or enhance human labor with machines.
backbone	From Middle English bakbon, bakebon, bac-bon; equivalent to back + bone. Compare the semantically analogous English ridgebone.	noun. The series of vertebrae, separated by disks, that encloses and protects the spinal cord, and runs down the middle of the back in vertebrate animals.
backward	From Middle English bakwarde, abakward, equivalent to back (adverb) + -ward. Cognate with Old Frisian bekward (“backward”).	adjective. Indicating position or direction. Situated toward or at the rear of something.
bacteria	Borrowed from New Latin bacteria, plural of bactērium, from Ancient Greek βακτήριον (baktḗrion, “little rod”); by surface analysis, bacteri(um) + -a.	noun. plural of bacterium
bankrupt	Partial calque of Italian bancarotta (literally “a broken bench”), from banca (“bank”, literally “bench”) + rotta (“broken, rupted”), which refers to an out-of-business bank, having its bench physically broken, signifying that the working moneylender was insolvent.	adjective. In a condition of bankruptcy; unable to pay outstanding debts or meet financial obligations; specifically, having been legally declared insolvent.
basement	From base + -ment.	noun. A floor of a building below ground level. Ellipsis of semi-basement, a floor mostly below grade
bathroom	From bath + room. Compare Dutch badkamer (“bathroom”), German Badezimmer (“bathroom”), Swedish badrum (“bathroom”), Faroese baðrúm (“bathroom”).	noun. A room containing a shower or bathtub, and a toilet.
beginner	From Middle English begynner, equivalent to begin + -er. Cognate with West Frisian begjinner (“beginner”), Dutch beginner (“beginner”), Low German begünner (“beginner”), Danish nybegynder (“beginner, novice”, literally “new-beginner”).	noun. Someone who is just starting at something, or has only recently started.
behavior	From Middle English behavoure, behaver, from behaven (modern behave), morphologically equivalent to behave + -ior. The suffix was adopted in imitation of havour (modern haviour, havior), an etymologically unrelated word that was corrupted from Anglo‐Norman Anglo-Norman aveir and Old French Old French avoir (“property, wealth”) through false association with the native English verb have. The French term derives ultimately from Latin Latin habēre (“to have, hold”). Compare Scots havings (“behavior”), from have (“to behave”). Replaced Old English ġebǣru.	noun. Human conduct relative to social norms.
believer	From Middle English bilevar, bileever, belever, equivalent to believe + -er.	noun. A person who believes; especially regarding religion.
biblical	From Medieval Latin biblicus + English -al, equivalent to bible + -ical.	adjective. Of or relating to the Bible.
billfold	From bill + fold.	noun. A small, folding sleeve or case designed to hold paper currency, as well as credit cards, pictures, etc.
birthday	From Middle English birthdai, birtheday, from Old English ġebyrddæġ (“birthday”), influenced by Old Norse burðr, equivalent to birth + day. Compare Saterland Frisian Gebuursdai (“birthday”), Dutch geboortedag (“birthday”), Low German Geboortsdag (“birthday”), German Geburtstag (“birthday”), Norwegian bursdag, gebursdag (“birthday”). Eclipsed non-native Middle English nativitee (“birth, nativity, birthday”), from Old French nativité, nativited, from Latin nātīvitas.	noun. The anniversary of the day on which someone is born.
blasting	From Middle English blastynge, equivalent to blast + -ing (present participle ending).	verb. present participle and gerund of blast
blessing	From Middle English blessinge, blessynge, from Old English blētsung, blēdsung (“a blessing”), equivalent to bless + -ing.	noun. Some kind of divine or supernatural aid, or reward.
bookshop	From book + shop.	noun. A shop that sells books.
boundary	From bound + -ary.	noun. The dividing line or location between two areas.
breathed	From breathe + -ed.	verb. simple past and past participle of breathe
breeding	From Middle English breedyng, bredynge (“gestation, incubation, propagation, hatching; engineering, formation, development, growth”), equivalent to breed + -ing.	noun. Propagation of offspring through sexual reproduction.
brethren	From Early Modern English brethren, plural of brother, from Middle English brethren, from Middle English brethere, brether + -en (plural ending). Ultimately from Old English brōþor, brōþru (“brothers, brethren”), influenced by Old English brēþer, dative singular of brōþor (“brother”). Equivalent to brother + -en (plural ending). Compare German Brüder (“brothers, brethren”). More at brother. The vowel change (from o to e) is called umlaut.	noun. plural of brother
brightly	From Middle English brightliche, from Old English beorhtlice, equivalent to bright + -ly.	adverb. In a bright manner.
building	From Middle English byldynge, buyldyng, byldyng, buldynge, buldyng, boldyng, equivalent to build + -ing. Compare also related Middle English bold (“edifice, castle, mansion”), from Old English bold (“building, dwelling, house”).	noun. The act or process by which something is built; construction.
bulletin	Borrowed from French bulletin. By surface analysis, bull (“ball”) + -et (“diminutive”) + -in (“diminutive”).	noun. A short report, especially one released through official channels to be immediately broadcast or publicized.
business	From Middle English busines, busynes, businesse, bisynes, from Old English bisiġnes (“business, busyness”), equivalent to busy + -ness. Doublet of busyness. Sense 17 (something very good, top quality), possibly derives from " the bee's knees "	noun. A specific commercial enterprise or establishment.
caffeine	Borrowed from French caféine, from café (“coffee”), or German Caffein, Kaffein (cp. Coffein, Koffein), from Kaffee (“coffee”) (cp. Kaffe, Koffee, Koffe), or Italian caffè (“coffee”) + -ine.	noun. An alkaloid, C 8 H 10 N 4 O 2, found naturally in tea and coffee plants, which acts as a mild stimulant on the central nervous system.
calendar	From Middle English kalender, from Old French calendier, from Latin calendarium (“account book”), from kalendae (“the first day of the month”), from kalō (“to announce solemnly, to call out (the sighting of the new moon)”), from Proto-Indo-European *kelh₁-. Doublet of calendarium. Displaced native Old English rīmbōc and ġerīmbōc.	noun. Any system by which time is divided into days, weeks, months, and years.
campaign	From French campagne, from Italian campagna (“field, military operation”), from Late Latin campānia (“open country, battlefield”), from Latin campus (“field”). Doublet of campania, campagna, and champagne.	noun. A series of operations undertaken to achieve a set goal.
capacity	From Middle English capacite, from Old French capacite, from Latin capācitās (whence -acity), from capāx (“able to hold much”), from capiō (“to hold, to contain, to take, to understand”).	noun. The ability to hold, receive, or absorb.
careless	From Middle English careles, from Old English carlēas (“careless, reckless, void of care, free from care, free”), equivalent to care + -less. Cognate with Icelandic kærulaus (“careless, negligent”).	adjective. Not concerned or worried (about).
carriage	From Middle English cariage, from Old Northern French cariage, from carier (“to carry”).	noun. The act of conveying; carrying.
cassette	Borrowed from French cassette.	noun. A small flat case containing magnetic tape on two reels, used to record and play back audio and video material.
category	Late Middle English, borrowed from French catégorie, from Middle French categorie, from Late Latin catēgoria (“class of predicables”), from Ancient Greek κατηγορία (katēgoría, “head of predicables”). Doublet of categoria.	noun. A group, often named or numbered, to which items are assigned based on similarity or defined criteria.
catholic	From Old French catholique, from Latin catholicus, from Ancient Greek καθολικός (katholikós, “universal”), from κατά (katá, “according to”) + ὅλος (hólos, “whole”).	adjective. Universal; all-encompassing.
cellular	From New Latin cellulāris, from cellula (“cell”) + -āris.	adjective. Of, relating to, consisting of, or resembling a cell or cells.
ceremony	From Middle English cerymonye, from Latin caerimonia or caeremonia, later often cerimonia (“sacredness, reverence, a sacred rite”).	noun. A ritual, with religious or cultural significance.
chairman	From chair + -man.	noun. A person presiding over a meeting, sometimes especially a man.
champion	From Middle English champioun, from Old French champion, from Medieval Latin campio (“combatant in a duel, champion”), from Frankish *kampijō (“fighter”), from Proto-West Germanic *kampijō (“combat soldier”), a derivative of *kampijan (“to battle, to campaign”), itself a derivative of *kamp (“battlefield, battle”), ultimately a borrowing in West-Germanic from Latin campus (“a field, a plain, a place of action”). Cognate with Old English cæmpa, cempa (“soldier, warrior, champion”), Old High German kempfeo, kempfo (“fighter, warrior, champion”), whence archaic German Kempfe (“fighter”).	noun. An ongoing winner in a game or contest.
charming	From Middle English charmynge; equivalent to charm + -ing.	adjective. Pleasant, charismatic.
cheerful	From Middle English chereful, cherful, equivalent to cheer + -ful.	adjective. Noticeably happy and optimistic.
chemical	From New Latin chēmicus + -al.	adjective. Of or relating to chemistry.
chestnut	The noun is a contraction of chest(en) (“(obsolete) chestnut tree; fruit of this tree, chestnut”) + nut. Chesten is a late variant of chesteine (obsolete), from Middle English chesten, chesteine, chasteine, chesteyne (“chestnut tree (Castanea sativa); fruit of this tree; wood of this tree”), from Old French chastaigne, chastaine (French châtaigne), from Latin castanea (“chestnut tree; fruit of this tree”) (whence Old English ċisten), from Ancient Greek κᾰστᾰ́νειᾰ (kăstắneiă), a variant of κᾰ́στᾰνᾰ (kắstănă, “sweet chestnut”); for further etymology, see that entry. Doublet of castanet. Noun sense 4 (“joke, phrase, etc., which has been repeated so often as to have grown ineffective or tiresome”) may refer to an 1816 play, The Broken Sword, by William Dimond (1781 – c. 1837), in which one character begins to relate a story in which a boy slips down from a cork tree, and another interrupts him to say that he had previously repeated the story many times, and always mentioned a chestnut tree. The adjective is probably from an attributive use of the noun; compare French (of hair) châtain (“chestnut”) (from châtaigne (“a chestnut”)) and marron (“brown”) (from marron (“a horse chestnut or chestnut”)).	noun. An edible nut (technically a fruit) of the Spanish chestnut or sweet chestnut tree (Castanea sativa); also (chiefly preceded by a descriptive word), a nut from a related shrub or tree; or a similar nut from an unrelated plant.
childish	From Middle English childisch, from Old English ċildisċ. By surface analysis, child + -ish.	adjective. Immature in thought or behaviour.
children	From Middle English children, alteration of earlier childre ("children"; > English dialectal childer), from Old English ċildru, ċildra (“children”), nominative and accusative plural of ċild (“child”), equivalent to child + -ren.	noun. plural of child
circular	From Middle English circuler, circuleer, circulere, from Old French circulier (French circulaire), from Late Latin circularis, from Latin circulus, diminutive of circus (“ring”). By surface analysis, circle + -ar.	adjective. Of or relating to a circle.
civilian	From Middle English cyvylien, from Old French civilien. Equivalent to civil + -ian.	noun. A person following the pursuits of civil life, especially one who is not an active member of the armed forces.
civilize	Borrowed from French civiliser, corresponding to civil + -ize.	verb. American and Oxford British standard spelling of civilise.
classify	From French classifier. By surface analysis, class + -ify.	verb. to identify by or divide into classes; to categorize
clearest	From clear + -est.	adjective. superlative form of clear: most clear
clearing	From clear + -ing.	verb. present participle and gerund of clear
climbing	From Middle English clymbyng, clymbynge; equivalent to climb + -ing.	noun. The sport of climbing, ascending a wall or a rock or another object using available holds, generally with the safety of a rope and belayer.
clinical	From clinic + -al.	adjective. Dealing with the practical management of patients, in practice at the point of care; as contrasted with other health care venues (see clinical medicine for more explanation).
clipping	By surface analysis, clip + -ing.	verb. present participle and gerund of clip
clothing	From Middle English clothing, clathing, from Old English *clāþung, from Proto-West Germanic *klaiþungu (“clothing”), equivalent to clothe + -ing. Cognate with Scots clathing, claithing (“clothing”), Saterland Frisian Klodenge (“clothing”), West Frisian klaaiïng (“clothing”), Dutch kleding (“clothing”), German Kleidung (“clothing”), Danish klædning (“clothing, dress, attire”), Swedish kläding, klädning (“clothing, dress”). Doublet of the dialectal English term cleading, from Middle English clething; compare also cladding.	verb. present participle and gerund of clothe
cobblers	Shortened from cobbler’s awls, for balls (testicles or nonsense)	noun. plural of cobbler
coherent	From Middle French coherent, from Latin cohaērēns, from co- + haereō. By surface analysis, cohere + -ent.	adjective. Unified; sticking together; making up a whole.
coincide	From French coïncider, from Medieval Latin coincidere, from con- + incidere, from in- (“into, to”) + cadere (“to fall, fall down, drop”).	verb. To occupy exactly the same space.
collapse	From Latin collāpsus (past participle of collābor).	verb. To break apart and fall down suddenly; to cave in.
commence	From Middle English commencen, comencen (also as contracted comsen, cumsen), from Anglo-Norman comencer, from Vulgar Latin *cominitiāre, formed from Latin com- + initiō (whence English initiate).	verb. To begin, start.
commonly	Inherited from Middle English comunly; equivalent to common + -ly.	adverb. As a rule; frequently; usually.
communal	Borrowed from French communal, from Late Latin commūnālis, from Latin commūnis. Doublet of cominal.	adjective. Pertaining to a community or a commune.
compiler	From Middle English compilour, from Anglo-Norman compilour, from Old French compileur, from Latin compīlātōrem, equivalent to compile + -er.	noun. One who compiles.
complain	From Middle English complaynen, from Old French complaindre, from Medieval Latin complangere (“to bewail, complain”), from Latin com- (“together”) + plangere (“to strike, beat, as the breast in extreme grief, bewail”); see plain, plaint.	verb. To express feelings of pain, dissatisfaction, or resentment.
complete	From Middle English compleet (“full, complete”), borrowed from Old French complet or Latin completus, past participle of compleō (“to fill up, to complete”) (whence also complement, compliment), from com- + pleō (“to fill, to fulfill”) (whence also deplete, replete, plenty), ultimately from Proto-Indo-European *pleh₁- (“to fill”) (English full).	verb. To finish; to make done; to reach the end.
composer	From compose + -er.	noun. One who composes; an author. Especially, one who composes music.
compound	Possibly from Malay kampong, kampung (“group of buildings, village”), via Dutch or Portuguese, altered under the influence of Etymology 2. Doublet of kampung.	noun. An enclosure within which workers, prisoners, or soldiers are confined.
compress	From Middle English compressen, from Old French compresser, from Late Latin compressare (“to press hard/together”), from Latin compressus, the past participle of comprimō (“to compress”), itself from com- (“together”) + premō (“press”).	verb. To make smaller; to press or squeeze together, or to make something occupy a smaller space or volume.
comprise	From Middle English comprisen, from Old French compris, past participle of comprendre, from Latin comprehendere, contr. comprendere, past participle comprehensus (“to comprehend”); see comprehend. Compare apprise, reprise, surprise.	verb. To be made up of; to consist of (especially a comprehensive list of parts).
computer	From compute + -er. Doublet of cantore, counter, and kontor. The sense referring to people first appears c. 1613 in the works of the poet Richard Brathwait. The sense referring to a machine first appears c. 1897 in the magazine Engineering.	noun. A programmable electronic device that performs mathematical calculations and logical operations, especially one that can process, store and retrieve large amounts of data very quickly; now especially, a small one for personal or home use employed for manipulating text or graphics, accessing the Internet, or playing games or media.
conceive	From Middle English conceyven, from Old French concevoir, conceveir, from Latin concipiō, concipere (“to devise, to conceive”).	verb. To have a child; to become pregnant (with).
concerto	Borrowed from Italian concerto, deverbal from concertare. Doublet of concert.	noun. A piece of music for one or more solo instruments and orchestra.
conclude	From Middle English concluden, borrowed from Latin conclūdere (“to shut up, close, end”).	verb. To end; to come to an end.
concrete	Borrowed from Latin concrētus, past participle of concrescō (to curdle) from con- (with, together) + crescō (to grow, rise).	adjective. Real, actual, tangible.
condense	Borrowed from Middle French condenser, from Latin condēnsō.	verb. To concentrate toward the essence by making more close, compact, or dense, thereby decreasing size or volume.
conflict	From Latin cōnflīctus, from com- + flīctus, past participle of conflīgō (“to strike together”), from com- + flīgō (“strike”) (whence con-).	noun. A clash or disagreement, often violent, between two or more opposing groups or individuals.
confront	From Middle French confronter, borrowed from Medieval Latin cōnfrontāre, from con- + frontem (“front, forehead”).	verb. To stand or meet facing, especially in competition, hostility or defiance; to come face to face with.
confused	Originally from Middle English confused (“frustrated, ruined”), from Anglo-Norman confus + Middle English -ed (past participial suffix), from Latin cōnfūsus, past participle of cōnfundō; now equivalent to confuse (a back-formation) + -ed.	verb. simple past and past participle of confuse
consider	From Middle English consideren, from Middle French considerer, from Latin considerare.	verb. To think about seriously.
constant	From Middle English constant, from Old French constant, from Latin constantem, accusative of constans, from cōnstāre (“to stand firm”). Displaced native Old English singal.	adjective. Unchanged through time or space; permanent.
consumer	From consume + -er.	noun. One who, or that which, consumes.
contempt	From Latin contemptus (“scorn”), from contemnō (“to scorn, despise”), from com- + temnō (“to despise”). Displaced native Old English forsewennes.	noun. The state or act of contemning; the feeling or attitude of regarding someone or something as inferior, base, or worthless; scorn, disdain.
continue	From Middle English continuen, from Old French continuer, from Latin continuāre. Displaced native Middle English thurghwonen, from Old English þurhwunian.	verb. To proceed with; to prolong.
contract	From Middle English, from Old French contract, from Latin contractus (noun), from contrahere (“to bring together, to bring about, to conclude a bargain”) [from con- (“with, together”) + trahere (“to draw, to pull”)] + -tus (suffix forming nouns from verbs).	noun. An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.
contrary	From Middle English contrarie, compare French contraire, from Old French contraire, from Latin contrārius (“opposite, opposed, contrary”), from contrā (“against”).	adjective. Opposite; in an opposite direction; in opposition; adverse.
contrast	From French contraster, from Latin contrāstāre (“to resist", "to withstand”), from contrā (“against”) + stō, stāre (“to stand”).	noun. A difference in lightness, brightness or hue between two colours that makes them more or less distinguishable. The degree of this difference.
contrive	From Middle English contreve (“to invent”), from Old French controver (Modern French controuver), from trover (“to find”) (French trouver).	verb. To invent by an exercise of ingeniosity; to devise
converse	From Old French converser, from Latin conversor (“live, have dealings with”).	verb. To talk; to engage in conversation.
convince	Borrowed from Latin convincō (“to refute, prove”), from con- + vincō (“to conquer, vanquish”). Doublet of convict. Displaced native Old English oferreċċan.	verb. To make someone believe, or feel sure about something, especially by using logic, argument or evidence.
corridor	Borrowed from French corridor, from Italian corridore (“long passage”) (= corridoio), from correre (“to run”).	noun. A narrow hall or passage with rooms leading off it, as in a building or in a railway carriage.
coupling	From Middle English couplynge; equivalent to couple + -ing.	noun. The act of joining together to form a couple.
courtesy	From Middle English curteisie, curtesie, from Anglo-Norman curtesie, from Old French curteisie, cortoisie. Equivalent to courteous + -y (abstract noun suffix). By surface analysis, court + -esy.	noun. Polite behavior.
coverage	From cover + -age. First attested in 1912. Compare Middle English coverage (“a charge for having or stall or booth at a fair”).	noun. An amount by which something or someone is covered.
